Age,Experience,Salary
27,5,43220
44,9,64296
32,1,37937
31,8,58037
52,24,104462
31,9,55358
60,19,94961
50,3,52770
57,1,50735
44,12,74098
43,1,46279
48,26,111092
24,1,36700
23,0,34000
27,1,35995
51,16,88436
44,22,94455
34,9,58119
38,13,70712
36,8,57134
57,16,89606
47,14,81413
60,14,87757
39,0,40047
47,22,97127
60,5,61092
53,28,114135
54,24,105013
33,0,37072
36,10,64276
34,9,57679
42,17,86245
27,5,48115
36,6,50558
34,8,57166
38,16,80651
26,2,39315
26,4,43682
55,13,81392
44,21,96663
37,3,47245
36,0,35388
44,15,77781
43,21,96911
45,4,51943
41,15,77295
45,13,75922
40,6,53232
51,12,77783
56,8,70977
36,7,54272
27,2,41013
59,7,65982
29,2,38376
50,14,77330
33,9,59642
26,1,37517
35,10,61940
59,16,90723
26,1,35971
25,3,38830
26,2,40786
33,10,59155
30,7,52295
27,1,35706
33,6,53170
28,0,36779
36,8,59837
37,5,48024
46,5,54035
56,3,53429
48,19,91390
47,23,101506
36,7,54521
42,15,80660
54,9,69312
56,13,78891
58,4,57702
35,9,57251
24,0,32166
60,29,122723
24,0,34926
49,11,73829
31,4,42915
34,0,37015
31,3,44948
48,2,46646
43,4,54111
30,1,39805
42,7,55956
47,4,52671
43,11,70393
44,4,50518
36,9,58988
60,7,70028
52,23,103125
58,21,99071
58,18,95321
40,11,68098
22,0,31457
38,3,45115
31,7,52720
45,19,90076
57,32,131382
48,24,104624
60,21,100673
48,24,101022
26,2,38362
31,0,33459
32,0,37675
29,0,32633
57,10,72854
30,8,54371
52,11,71918
46,3,47872
57,24,106950
29,7,49019
58,11,73779
40,13,70486
53,16,87292
56,16,86467
60,19,99749
29,4,43739
32,9,56190
45,18,88411
40,18,83295
46,23,102218
41,3,50012
58,29,119405
35,7,57759
37,6,51117
42,14,73837
51,24,106076
37,0,36113
39,14,74858
45,9,65812
55,8,70259
43,10,67812
49,8,64478
28,2,37331
33,9,58882
57,5,62324
45,15,82698
42,2,47163
35,0,40208
37,7,55494
35,9,57140
29,7,50993
55,28,117972
54,14,80470
48,6,58952
51,4,52957
22,0,31551
36,1,41328
54,1,49264
48,17,83573
50,5,59556
58,23,109091
37,14,70885
57,7,67291
34,5,49514
44,14,78416
29,5,45466
56,0,49229
47,5,58179
56,1,50461
38,16,81208
27,3,40162
35,0,35365
25,0,32112
22,0,29264
51,2,47745
49,20,93744
30,3,45479
58,28,118577
25,1,37796
32,7,51688
55,22,100541
35,0,40082
52,22,102108
44,17,86492
33,11,63614
29,6,48881
22,0,30737
35,1,39901
30,3,42759
26,4,42626
38,2,46161
42,16,79886
32,2,41479
34,7,56289
56,13,78212
27,1,36775
45,5,56753
35,0,38254
29,5,46220
42,19,89990
43,15,81683
33,9,58295
26,4,41471
37,6,56400
36,13,71369
45,16,84525
41,4,50184
29,0,36514
58,1,49402
36,4,48668
43,13,71756
54,19,96143
52,1,47101
52,6,59440
51,2,51981
48,8,61653
49,22,101241
31,9,60167
28,1,36186
57,1,51062
22,0,29526
53,31,121946
48,12,76962
44,6,57499
45,5,56917
56,14,80440
53,23,106475
25,3,40737
44,14,78049
38,13,70873
48,12,74937
24,0,32707
30,6,52009
25,3,42061
55,4,56106
48,12,75026
43,17,84760
27,3,40499
28,0,36553
24,2,35785
29,6,49260
34,3,45554
36,9,58821
46,4,52997
55,13,77692
44,2,48828
43,8,61844
55,16,85836
58,15,87616
43,6,58324
45,15,79163
39,5,54119
47,19,91821
40,4,49840
43,20,92981
35,3,43106
35,0,40189
54,6,64953
47,8,65341
50,15,80353
47,17,88744
57,20,96714
41,17,84517
43,7,58045
55,3,52891
42,0,41141
53,4,58113
44,13,75907
41,16,79957
27,4,40895
57,20,98771
50,18,88190
47,18,88734
59,24,109545
36,7,57322
35,2,44672
53,14,84261
35,1,41700
47,7,60384
44,11,68804
59,11,75392
24,2,39079
54,19,92241
59,27,114342
35,13,69997
45,22,97792
34,1,38320
36,7,53774
56,0,45228
39,8,57428
50,26,108986
31,6,49070
33,2,39737
42,12,69238
41,6,55042
49,15,84722
50,0,47835
32,6,48074
38,15,75657
29,1,36672
49,16,84160
56,6,60226
28,4,44512
45,8,64120
45,15,82199
58,20,100035
55,24,106608
35,13,71843
27,3,40469
49,27,113988
27,4,43274
58,15,89309
59,13,84117
26,2,39744
60,36,140891
25,0,33409
39,14,72748
32,0,36016
37,1,42613
22,0,29930
47,0,46443
46,16,80550
31,6,52894
38,1,38800
30,2,38828
59,2,54363
48,19,88931
52,21,95641
25,0,32371
23,0,33018
40,7,56711
56,17,90300
57,30,123171
33,7,55580
32,7,55486
29,7,52884
31,7,52006
33,2,38729
51,26,109000
29,0,34429
34,5,48867
55,13,81463
32,8,54770
30,6,50012
45,21,97855
22,0,32891
41,9,60225
29,1,37866
47,16,84917
51,27,110105
42,10,63100
26,0,33846
47,9,64091
56,0,46987
60,5,62504
53,24,105490
27,1,36412
58,14,85810
27,2,38392
50,18,91321
51,23,102904
44,10,69804
56,13,82070
22,0,28951
50,1,46474
36,3,44034
29,4,44706
35,6,54007
44,8,60778
58,5,64117
51,9,65753
51,11,72544
49,7,61614
42,17,81217
44,10,69671
54,5,56634
50,7,61753
48,8,66830
30,8,55907
29,0,34014
52,29,118724
55,11,73887
60,5,60881
36,11,63612
44,7,58087
43,14,75040
51,20,97185
40,6,53475
25,0,32739
55,14,85459
36,1,41821
36,5,52780
38,1,42020
56,8,69600
31,4,43176
40,0,37343
53,17,91673
26,3,37801
58,6,65303
28,2,36500
58,13,83780
29,4,44212
33,11,61486
32,4,48596
49,13,76836
23,0,32292
30,1,38478
40,5,52379
52,30,119109
54,22,99305
39,3,48428
32,4,48858
58,9,71159
51,1,47435
31,3,45393
50,4,55991
22,0,30431
26,2,39124
52,9,70048
27,1,36875
50,22,101126
46,4,52171
53,0,46222
45,0,44483
59,34,136873
50,14,78680
54,16,85803
53,17,88348
59,22,103972
47,12,73080
57,30,122524
23,1,32957
34,7,52098
44,16,81796
56,6,63075
48,25,108651
27,3,40748
45,14,79404
26,0,32548
31,3,44702
52,24,103058
56,0,46628
29,3,40581
59,10,73779
35,13,69724
46,22,96026
41,0,40236
35,1,39594
55,28,119199
28,3,39415
27,1,38263
57,2,52006
34,5,47896
33,0,38211
22,0,29575
60,34,135992
54,12,76814
36,8,55657
35,6,51080
27,4,44335
24,1,34979
53,28,114290
38,10,61900
49,18,87588
60,25,113390
28,5,46328
32,5,50835
40,10,67547
51,23,105648
46,15,79683
24,0,33355
47,12,71965
40,15,77337
43,1,45663
35,0,34904
57,28,116312
29,2,41677
45,11,67972
50,4,53002
28,3,44010
56,4,59187
54,5,61265
26,3,39375
50,2,47163
37,6,54678
39,15,75531
22,0,29206
47,19,92665
56,24,109692
37,14,73442
41,12,69797
51,1,46483
24,0,29716
34,11,66260
49,12,71559
53,26,112479
22,0,29828
45,1,45803
47,7,59880
40,3,47619
59,6,61866
33,3,42312
37,6,53081
33,2,44037
52,25,110289
29,7,51657
34,12,64795
38,16,76470
49,27,110354
38,13,73380
47,9,63787
30,3,41167
51,15,85882
54,28,116369
46,17,85503
45,5,57189
54,0,44578
29,1,39181
30,8,52760
59,17,93484
37,11,67421
23,0,30940
30,8,55366
58,1,48835
30,2,39178
36,1,42468
50,6,62252
53,9,69814
36,14,71054
44,14,76306
30,6,49984
49,12,77289
41,19,90103
29,3,44100
37,11,66359
55,29,117937
42,0,43595
48,8,62612
37,9,62080
25,2,40255
41,17,81943
41,2,45488
56,23,106523
34,0,34542
38,15,74557
60,9,72846
44,16,84088
48,23,103186
31,6,50303
49,23,101274
29,1,36294
48,1,45252
41,16,81372
25,0,32209
37,10,61147
53,22,98747
25,0,31721
54,31,123899
46,17,85339
50,6,61938
35,10,63394
31,0,38080
25,0,34873
29,3,41677
38,16,80110
59,8,66778
24,0,29669
38,3,48797
32,5,46471
35,2,42358
35,8,57385
30,0,34466
29,2,36825
28,6,48216
25,0,32924
30,1,37596
31,2,41817
33,2,43559
43,16,80067
38,3,49157
51,19,90285
33,3,42870
58,21,99368
47,12,76276
23,1,35484
47,2,47730
43,13,73965
34,8,54183
